order_id,device_id,device_type,browser,operating_system,user_agent,ip_address,ip_country,ip_city,vpn_detected,proxy_detected,datacenter_ip,card_fingerprint,failed_payments,payment_attempts,phone_verified
14,dev_761125,desktop,Edge,Linux,desktop/Linux/Edge,109.143.54.80,Vietnam,Unknown,0.0,1.0,0.0,card_64717,1.0,2.0,0.0
15,dev_369604,desktop,Safari,Windows,desktop/Windows/Safari,178.175.65.77,USA,Los Angeles,0.0,0.0,1.0,card_80460,1.0,2.0,1.0
16,,,,,,,,,,,,,,,
17,dev_842771,mobile,Chrome,iOS,mobile/iOS/Chrome,89.142.159.196,Indonesia,Unknown,1.0,0.0,0.0,card_11744,0.0,1.0,1.0
18,dev_938417,desktop,Firefox,Linux,desktop/Linux/Firefox,55.138.230.211,Indonesia,Unknown,1.0,0.0,0.0,card_68359,1.0,2.0,1.0
19,dev_453862,mobile,Safari,iOS,mobile/iOS/Safari,159.43.126.41,Vietnam,Unknown,0.0,0.0,0.0,card_63575,2.0,3.0,0.0
20,dev_735458,desktop,Safari,Windows,desktop/Windows/Safari,186.232.122.212,Pakistan,Islamabad,1.0,0.0,0.0,card_52044,3.0,4.0,1.0
21,dev_349221,desktop,Chrome,Linux,desktop/Linux/Chrome,80.92.110.254,Romania,Unknown,0.0,0.0,0.0,card_51460,1.0,2.0,1.0
22,dev_315499,mobile,Chrome,Android,mobile/Android/Chrome,64.198.107.225,Pakistan,Islamabad,0.0,0.0,1.0,card_49245,1.0,2.0,1.0
23,dev_517893,desktop,Safari,Windows,desktop/Windows/Safari,120.222.67.105,Pakistan,Islamabad,0.0,0.0,0.0,card_58404,1.0,2.0,1.0
24,dev_770524,mobile,Edge,iOS,mobile/iOS/Edge,27.237.98.83,Pakistan,Islamabad,0.0,0.0,0.0,card_50061,0.0,1.0,1.0
25,dev_844838,mobile,Chrome,Android,mobile/Android/Chrome,73.225.57.239,Saudi Arabia,Riyadh,1.0,0.0,0.0,card_89025,1.0,2.0,1.0
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,dev_772617,mobile,Chrome,iOS,mobile/iOS/Chrome,98.192.162.28,UAE,Dubai,0.0,0.0,0.0,card_50716,1.0,2.0,0.0
29,,,,,,,,,,,,,,,
30,dev_923856,mobile,Chrome,iOS,mobile/iOS/Chrome,191.129.126.117,Pakistan,Islamabad,1.0,0.0,1.0,card_24228,0.0,1.0,0.0
31,dev_746663,mobile,Chrome,iOS,mobile/iOS/Chrome,18.111.117.227,Pakistan,Islamabad,0.0,0.0,0.0,card_51470,1.0,2.0,0.0
32,dev_612770,tablet,Safari,Windows,tablet/Windows/Safari,147.46.79.64,Pakistan,Islamabad,0.0,0.0,0.0,card_54866,0.0,1.0,1.0
33,,,,,,,,,,,,,,,
34,dev_937560,mobile,Safari,Android,mobile/Android/Safari,3.162.114.116,Qatar,Doha,0.0,0.0,0.0,card_12457,2.0,3.0,1.0
35,dev_800899,desktop,Firefox,Windows,desktop/Windows/Firefox,185.58.86.249,Pakistan,Islamabad,1.0,0.0,0.0,card_38873,0.0,1.0,0.0
36,,,,,,,,,,,,,,,
37,dev_483210,tablet,Chrome,Windows,tablet/Windows/Chrome,132.233.163.170,Nigeria,Unknown,0.0,0.0,0.0,card_50784,1.0,2.0,1.0
38,dev_613329,mobile,Firefox,Android,mobile/Android/Firefox,67.195.232.113,Vietnam,Unknown,0.0,0.0,0.0,card_72204,0.0,1.0,1.0
39,dev_646950,desktop,Chrome,Linux,desktop/Linux/Chrome,48.231.161.249,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_25005,1.0,2.0,0.0
40,dev_455593,desktop,Chrome,Windows,desktop/Windows/Chrome,43.178.151.60,Pakistan,Islamabad,0.0,0.0,0.0,card_32697,0.0,1.0,1.0
41,dev_451915,desktop,Chrome,Linux,desktop/Linux/Chrome,84.34.43.223,Turkey,Istanbul,1.0,0.0,0.0,card_96369,2.0,3.0,0.0
42,,,,,,,,,,,,,,,
43,dev_253735,desktop,Chrome,Linux,desktop/Linux/Chrome,31.89.35.122,Pakistan,Islamabad,0.0,1.0,1.0,card_23255,0.0,1.0,0.0
44,,,,,,,,,,,,,,,
45,dev_747520,mobile,Chrome,Android,mobile/Android/Chrome,110.168.60.10,USA,Los Angeles,0.0,0.0,1.0,card_60008,3.0,4.0,0.0
46,,,,,,,,,,,,,,,
47,dev_149797,mobile,Chrome,Android,mobile/Android/Chrome,116.89.102.101,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_26910,1.0,2.0,0.0
48,dev_395900,mobile,Safari,Android,mobile/Android/Safari,174.89.59.6,UK,Manchester,1.0,0.0,0.0,card_90665,0.0,1.0,0.0
49,dev_193845,mobile,Chrome,iOS,mobile/iOS/Chrome,31.70.23.51,Pakistan,Islamabad,0.0,0.0,0.0,card_23645,0.0,1.0,0.0
50,,,,,,,,,,,,,,,
51,dev_698631,tablet,Safari,iOS,tablet/iOS/Safari,17.222.167.56,UAE,Dubai,0.0,0.0,0.0,card_20126,0.0,1.0,1.0
52,dev_777572,mobile,Firefox,Android,mobile/Android/Firefox,105.188.225.95,Pakistan,Islamabad,0.0,0.0,0.0,card_63263,0.0,1.0,0.0
53,dev_136093,mobile,Safari,iOS,mobile/iOS/Safari,1.169.168.176,USA,Los Angeles,1.0,0.0,0.0,card_52159,0.0,1.0,0.0
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,dev_363261,desktop,Edge,macOS,desktop/macOS/Edge,140.46.201.252,Pakistan,Islamabad,0.0,0.0,0.0,card_30771,2.0,3.0,0.0
57,dev_366291,desktop,Chrome,macOS,desktop/macOS/Chrome,178.253.37.165,UAE,Dubai,0.0,0.0,0.0,card_61005,0.0,1.0,1.0
58,dev_861322,desktop,Chrome,Linux,desktop/Linux/Chrome,125.206.39.50,Pakistan,Islamabad,0.0,0.0,0.0,card_90844,1.0,2.0,1.0
59,dev_642641,mobile,Chrome,iOS,mobile/iOS/Chrome,47.192.217.33,Qatar,Doha,0.0,0.0,0.0,card_36170,0.0,1.0,1.0
60,dev_408618,mobile,Samsung Internet,Android,mobile/Android/Samsung Internet,190.139.13.134,Pakistan,Islamabad,0.0,0.0,0.0,card_34458,0.0,1.0,0.0
61,dev_118687,desktop,Edge,macOS,desktop/macOS/Edge,135.6.167.41,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_20706,0.0,1.0,0.0
62,dev_382594,desktop,Chrome,macOS,desktop/macOS/Chrome,41.134.147.105,Canada,Toronto,0.0,1.0,0.0,card_61697,0.0,1.0,0.0
63,dev_214883,mobile,Chrome,iOS,mobile/iOS/Chrome,101.64.52.205,Turkey,Istanbul,0.0,0.0,0.0,card_91776,0.0,1.0,1.0
64,,,,,,,,,,,,,,,
65,dev_955549,mobile,Safari,iOS,mobile/iOS/Safari,94.122.53.90,Pakistan,Islamabad,0.0,0.0,0.0,card_88531,0.0,1.0,1.0
66,dev_328619,mobile,Chrome,iOS,mobile/iOS/Chrome,10.84.201.223,Pakistan,Islamabad,0.0,0.0,0.0,card_54326,0.0,1.0,1.0
67,dev_195362,mobile,Chrome,Android,mobile/Android/Chrome,163.218.156.125,Romania,Unknown,0.0,0.0,0.0,card_89307,0.0,1.0,0.0
68,dev_957575,tablet,Firefox,iOS,tablet/iOS/Firefox,199.199.101.226,Pakistan,Islamabad,0.0,0.0,0.0,card_25028,0.0,1.0,1.0
69,dev_513891,desktop,Safari,Linux,desktop/Linux/Safari,44.42.102.40,Pakistan,Islamabad,0.0,0.0,0.0,card_43563,0.0,1.0,0.0
70,dev_556253,desktop,Other,Linux,desktop/Linux/Other,148.114.248.231,Canada,Toronto,0.0,0.0,0.0,card_70814,0.0,1.0,1.0
71,,,,,,,,,,,,,,,
72,dev_754696,desktop,Edge,Windows,desktop/Windows/Edge,3.58.70.253,UK,Manchester,0.0,0.0,0.0,card_53357,0.0,1.0,1.0
73,dev_388419,mobile,Chrome,iOS,mobile/iOS/Chrome,16.240.88.74,Qatar,Doha,0.0,0.0,0.0,card_27653,0.0,1.0,1.0
74,dev_711235,desktop,Chrome,macOS,desktop/macOS/Chrome,105.33.63.233,Pakistan,Islamabad,0.0,0.0,0.0,card_72156,0.0,1.0,1.0
75,dev_366235,desktop,Safari,macOS,desktop/macOS/Safari,137.15.141.213,Canada,Toronto,0.0,0.0,0.0,card_89624,0.0,1.0,1.0
76,dev_967124,mobile,Chrome,iOS,mobile/iOS/Chrome,112.107.188.226,UAE,Dubai,0.0,0.0,0.0,card_21142,0.0,1.0,1.0
77,dev_947496,desktop,Chrome,Windows,desktop/Windows/Chrome,38.122.106.207,Pakistan,Islamabad,0.0,0.0,0.0,card_84202,0.0,1.0,1.0
78,dev_211523,mobile,Firefox,Android,mobile/Android/Firefox,199.232.195.36,Pakistan,Islamabad,0.0,0.0,0.0,card_49366,0.0,1.0,1.0
79,dev_561419,mobile,Chrome,iOS,mobile/iOS/Chrome,106.67.8.187,UK,Manchester,0.0,0.0,0.0,card_10865,0.0,1.0,1.0
80,dev_517797,mobile,Samsung Internet,Android,mobile/Android/Samsung Internet,117.70.156.236,Pakistan,Islamabad,0.0,0.0,0.0,card_56744,0.0,1.0,1.0
81,dev_229073,desktop,Chrome,Windows,desktop/Windows/Chrome,169.117.143.174,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_48360,0.0,1.0,0.0
82,dev_575259,mobile,Edge,iOS,mobile/iOS/Edge,4.134.201.25,Pakistan,Islamabad,0.0,0.0,0.0,card_70685,0.0,1.0,1.0
83,dev_294595,mobile,Other,iOS,mobile/iOS/Other,94.136.112.179,UK,Manchester,0.0,0.0,0.0,card_27557,0.0,1.0,1.0
84,dev_552048,mobile,Chrome,iOS,mobile/iOS/Chrome,169.178.65.147,Pakistan,Islamabad,0.0,0.0,0.0,card_80335,0.0,1.0,0.0
85,dev_401319,desktop,Chrome,Windows,desktop/Windows/Chrome,42.60.178.165,Pakistan,Islamabad,0.0,0.0,0.0,card_57545,1.0,2.0,1.0
86,dev_209127,desktop,Safari,macOS,desktop/macOS/Safari,42.114.5.233,UAE,Dubai,0.0,0.0,0.0,card_60973,0.0,1.0,1.0
87,dev_156024,mobile,Samsung Internet,Android,mobile/Android/Samsung Internet,126.21.209.149,Russia,Unknown,0.0,0.0,0.0,card_73606,0.0,1.0,0.0
88,dev_567783,mobile,Safari,Android,mobile/Android/Safari,210.88.39.57,Pakistan,Islamabad,0.0,0.0,0.0,card_87595,0.0,1.0,1.0
89,dev_188515,mobile,Chrome,Android,mobile/Android/Chrome,12.149.92.193,UAE,Dubai,1.0,0.0,1.0,card_48077,0.0,1.0,1.0
90,dev_488504,mobile,Chrome,Android,mobile/Android/Chrome,61.2.50.123,Pakistan,Islamabad,0.0,0.0,0.0,card_15196,0.0,1.0,0.0
91,dev_900733,desktop,Safari,macOS,desktop/macOS/Safari,109.230.252.182,Pakistan,Islamabad,0.0,0.0,0.0,card_25191,0.0,1.0,1.0
92,dev_186629,desktop,Safari,Windows,desktop/Windows/Safari,39.150.187.105,Pakistan,Islamabad,0.0,0.0,0.0,card_61719,0.0,1.0,1.0
93,dev_198245,mobile,Chrome,Android,mobile/Android/Chrome,177.17.79.241,Pakistan,Islamabad,1.0,0.0,0.0,card_47988,0.0,1.0,1.0
94,dev_501668,desktop,Chrome,macOS,desktop/macOS/Chrome,210.100.42.197,Pakistan,Islamabad,0.0,0.0,0.0,card_72277,0.0,1.0,1.0
95,dev_778337,mobile,Chrome,iOS,mobile/iOS/Chrome,76.75.212.19,UAE,Dubai,0.0,0.0,0.0,card_91757,0.0,1.0,1.0
96,dev_720987,desktop,Chrome,Linux,desktop/Linux/Chrome,176.34.113.218,Pakistan,Islamabad,0.0,0.0,0.0,card_45009,0.0,1.0,1.0
97,dev_709803,mobile,Safari,Android,mobile/Android/Safari,206.39.207.94,Qatar,Doha,0.0,0.0,0.0,card_78810,0.0,1.0,1.0
98,dev_743890,mobile,Chrome,Android,mobile/Android/Chrome,196.226.16.196,UAE,Dubai,0.0,0.0,0.0,card_32271,1.0,2.0,0.0
99,dev_721464,mobile,Chrome,iOS,mobile/iOS/Chrome,10.225.194.42,Pakistan,Islamabad,0.0,0.0,0.0,card_57878,0.0,1.0,1.0
100,dev_861333,desktop,Edge,Windows,desktop/Windows/Edge,73.104.115.57,Turkey,Istanbul,0.0,0.0,0.0,card_25891,0.0,1.0,0.0
101,dev_612493,mobile,Chrome,Android,mobile/Android/Chrome,29.61.57.90,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_51974,0.0,1.0,1.0
102,dev_355548,mobile,Other,Android,mobile/Android/Other,132.177.254.73,Pakistan,Islamabad,0.0,0.0,0.0,card_51621,0.0,1.0,1.0
103,dev_117717,desktop,Chrome,Windows,desktop/Windows/Chrome,147.146.158.130,UK,Manchester,0.0,0.0,0.0,card_61959,0.0,1.0,1.0
104,dev_556253,mobile,Chrome,iOS,mobile/iOS/Chrome,63.78.52.234,Pakistan,Islamabad,0.0,0.0,0.0,card_75038,0.0,1.0,1.0
105,dev_178895,mobile,Safari,Android,mobile/Android/Safari,53.202.170.88,UAE,Dubai,0.0,0.0,0.0,card_49197,0.0,1.0,1.0
106,dev_547229,mobile,Chrome,Android,mobile/Android/Chrome,116.77.240.146,Pakistan,Islamabad,0.0,0.0,0.0,card_62044,0.0,1.0,0.0
107,dev_236862,mobile,Chrome,iOS,mobile/iOS/Chrome,28.40.171.183,UK,Manchester,0.0,0.0,0.0,card_10844,0.0,1.0,1.0
108,dev_165394,tablet,Safari,iOS,tablet/iOS/Safari,123.152.61.198,UK,Manchester,0.0,0.0,0.0,card_77303,0.0,1.0,1.0
109,dev_715179,mobile,Safari,iOS,mobile/iOS/Safari,37.69.162.154,Pakistan,Islamabad,0.0,0.0,0.0,card_63353,0.0,1.0,1.0
110,dev_857708,mobile,Chrome,iOS,mobile/iOS/Chrome,155.151.117.119,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_80602,0.0,1.0,0.0
111,dev_381444,desktop,Chrome,Linux,desktop/Linux/Chrome,51.184.34.137,Pakistan,Islamabad,0.0,0.0,0.0,card_79294,1.0,2.0,1.0
112,dev_781619,mobile,Safari,iOS,mobile/iOS/Safari,116.195.252.141,Pakistan,Islamabad,0.0,0.0,0.0,card_52109,0.0,1.0,0.0
113,dev_467507,mobile,Chrome,Android,mobile/Android/Chrome,79.121.207.133,Pakistan,Islamabad,0.0,0.0,0.0,card_49530,0.0,1.0,1.0
114,dev_729759,mobile,Safari,iOS,mobile/iOS/Safari,182.87.133.211,Qatar,Doha,0.0,0.0,0.0,card_54636,0.0,1.0,0.0
115,dev_979275,mobile,Chrome,iOS,mobile/iOS/Chrome,12.65.233.213,Pakistan,Islamabad,1.0,0.0,0.0,card_63053,0.0,1.0,1.0
116,dev_492580,desktop,Chrome,Linux,desktop/Linux/Chrome,179.243.69.203,Turkey,Istanbul,0.0,0.0,0.0,card_19427,0.0,1.0,1.0
117,dev_963449,mobile,Chrome,iOS,mobile/iOS/Chrome,57.85.209.41,UAE,Dubai,0.0,0.0,0.0,card_19533,0.0,1.0,0.0
118,dev_893212,mobile,Chrome,Android,mobile/Android/Chrome,44.111.194.81,UK,Manchester,0.0,0.0,0.0,card_49868,1.0,2.0,1.0
119,dev_458040,mobile,Chrome,iOS,mobile/iOS/Chrome,150.239.80.152,USA,Los Angeles,0.0,0.0,0.0,card_21699,0.0,1.0,1.0
120,dev_175179,mobile,Chrome,iOS,mobile/iOS/Chrome,133.135.158.50,Pakistan,Islamabad,0.0,0.0,0.0,card_40076,0.0,1.0,1.0
121,dev_787821,mobile,Safari,Android,mobile/Android/Safari,156.229.149.158,Singapore,Singapore,0.0,0.0,0.0,card_10214,0.0,1.0,1.0
122,dev_333318,desktop,Samsung Internet,macOS,desktop/macOS/Samsung Internet,19.76.181.39,Singapore,Singapore,0.0,0.0,0.0,card_15587,1.0,2.0,1.0
123,dev_178895,desktop,Chrome,macOS,desktop/macOS/Chrome,166.28.46.104,USA,Los Angeles,0.0,0.0,0.0,card_98030,0.0,1.0,0.0
124,dev_683567,desktop,Chrome,Linux,desktop/Linux/Chrome,88.60.151.82,Pakistan,Islamabad,0.0,0.0,0.0,card_46193,0.0,1.0,1.0
125,dev_993699,desktop,Safari,macOS,desktop/macOS/Safari,155.62.186.156,Pakistan,Islamabad,0.0,0.0,0.0,card_68796,0.0,1.0,1.0
126,dev_516043,mobile,Safari,Android,mobile/Android/Safari,216.26.43.196,Pakistan,Islamabad,0.0,0.0,0.0,card_64371,0.0,1.0,1.0
127,dev_694848,mobile,Edge,Android,mobile/Android/Edge,46.143.175.31,Pakistan,Islamabad,0.0,0.0,0.0,card_79180,0.0,1.0,1.0
128,dev_619213,desktop,Samsung Internet,Windows,desktop/Windows/Samsung Internet,86.74.149.44,Pakistan,Islamabad,0.0,0.0,0.0,card_69104,0.0,1.0,1.0
129,dev_259335,mobile,Chrome,iOS,mobile/iOS/Chrome,87.49.72.27,Turkey,Istanbul,0.0,0.0,0.0,card_68684,0.0,1.0,1.0
130,dev_769675,desktop,Safari,Linux,desktop/Linux/Safari,129.99.24.20,Pakistan,Islamabad,0.0,0.0,0.0,card_71754,0.0,1.0,1.0
131,dev_877570,desktop,Chrome,Windows,desktop/Windows/Chrome,28.89.219.252,USA,Los Angeles,0.0,0.0,0.0,card_50483,0.0,1.0,1.0
132,dev_876495,tablet,Chrome,Windows,tablet/Windows/Chrome,128.80.72.37,Russia,Unknown,0.0,1.0,0.0,card_19336,0.0,1.0,1.0
133,dev_572597,mobile,Chrome,Android,mobile/Android/Chrome,14.192.132.134,USA,Los Angeles,0.0,0.0,0.0,card_84862,0.0,1.0,0.0
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,dev_901308,mobile,Chrome,iOS,mobile/iOS/Chrome,113.11.215.23,Pakistan,Islamabad,0.0,0.0,0.0,card_50184,0.0,1.0,1.0
137,,,,,,,,,,,,,,,
138,dev_858459,mobile,Chrome,iOS,mobile/iOS/Chrome,83.2.75.156,Pakistan,Islamabad,0.0,0.0,0.0,card_51353,0.0,1.0,1.0
139,dev_357245,desktop,Safari,Linux,desktop/Linux/Safari,162.103.178.73,Pakistan,Islamabad,0.0,0.0,0.0,card_38381,0.0,1.0,1.0
140,,,,,,,,,,,,,,,
141,dev_628227,mobile,Chrome,Android,mobile/Android/Chrome,119.236.43.126,Pakistan,Islamabad,0.0,0.0,0.0,card_52723,0.0,1.0,0.0
142,dev_714466,mobile,Firefox,Android,mobile/Android/Firefox,119.98.101.91,Australia,Sydney,0.0,0.0,0.0,card_78402,0.0,1.0,1.0
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,dev_425934,mobile,Chrome,iOS,mobile/iOS/Chrome,87.239.236.198,Australia,Sydney,0.0,0.0,0.0,card_45932,0.0,1.0,1.0
146,dev_622810,desktop,Chrome,macOS,desktop/macOS/Chrome,116.156.98.109,Saudi Arabia,Riyadh,0.0,1.0,0.0,card_89177,0.0,1.0,1.0
147,dev_492580,mobile,Chrome,iOS,mobile/iOS/Chrome,19.30.31.8,Pakistan,Islamabad,0.0,0.0,0.0,card_94293,0.0,1.0,1.0
148,dev_422978,desktop,Firefox,Linux,desktop/Linux/Firefox,84.251.1.154,Turkey,Istanbul,0.0,0.0,0.0,card_87278,0.0,1.0,1.0
149,dev_883073,mobile,Chrome,iOS,mobile/iOS/Chrome,165.61.35.139,Pakistan,Islamabad,0.0,0.0,0.0,card_14288,0.0,1.0,1.0
150,,,,,,,,,,,,,,,
151,dev_673641,mobile,Chrome,Android,mobile/Android/Chrome,38.155.201.183,Pakistan,Islamabad,0.0,0.0,1.0,card_51878,0.0,1.0,1.0
152,dev_279873,mobile,Edge,Android,mobile/Android/Edge,147.252.149.204,Qatar,Doha,0.0,0.0,0.0,card_22192,0.0,1.0,1.0
153,dev_325297,mobile,Edge,iOS,mobile/iOS/Edge,45.150.194.87,Pakistan,Islamabad,0.0,0.0,0.0,card_76856,0.0,1.0,0.0
154,,,,,,,,,,,,,,,
155,dev_315458,desktop,Chrome,macOS,desktop/macOS/Chrome,17.223.219.97,USA,Los Angeles,0.0,0.0,0.0,card_64918,1.0,2.0,1.0
156,dev_236556,mobile,Safari,iOS,mobile/iOS/Safari,87.207.214.44,USA,Los Angeles,0.0,0.0,0.0,card_32739,1.0,2.0,0.0
157,dev_342192,mobile,Chrome,iOS,mobile/iOS/Chrome,77.168.165.86,Pakistan,Islamabad,0.0,0.0,0.0,card_44810,0.0,1.0,1.0
158,dev_286938,mobile,Chrome,Android,mobile/Android/Chrome,183.11.187.189,UK,Manchester,0.0,0.0,0.0,card_26562,0.0,1.0,1.0
159,dev_471483,tablet,Edge,iOS,tablet/iOS/Edge,3.187.95.234,Vietnam,Unknown,0.0,0.0,0.0,card_95345,0.0,1.0,0.0
160,dev_316618,mobile,Safari,iOS,mobile/iOS/Safari,109.135.243.218,USA,Los Angeles,0.0,0.0,0.0,card_20610,0.0,1.0,1.0
161,dev_910930,mobile,Chrome,Android,mobile/Android/Chrome,76.87.215.56,Pakistan,Islamabad,0.0,0.0,0.0,card_50678,0.0,1.0,1.0
162,dev_212009,desktop,Chrome,Windows,desktop/Windows/Chrome,208.46.37.200,Pakistan,Islamabad,0.0,0.0,0.0,card_61642,0.0,1.0,1.0
163,dev_705519,mobile,Chrome,iOS,mobile/iOS/Chrome,10.47.215.13,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_83676,0.0,1.0,1.0
164,dev_593041,mobile,Safari,iOS,mobile/iOS/Safari,38.86.118.115,Pakistan,Islamabad,0.0,0.0,0.0,card_76027,0.0,1.0,1.0
165,dev_239625,desktop,Chrome,Windows,desktop/Windows/Chrome,108.242.152.83,Qatar,Doha,0.0,0.0,0.0,card_60920,0.0,1.0,1.0
166,dev_178370,mobile,Firefox,Android,mobile/Android/Firefox,14.28.78.241,UK,Manchester,0.0,1.0,1.0,card_63270,1.0,2.0,1.0
167,dev_499250,mobile,Chrome,iOS,mobile/iOS/Chrome,187.52.7.41,UAE,Dubai,0.0,0.0,0.0,card_57703,0.0,1.0,1.0
168,dev_897955,desktop,Chrome,macOS,desktop/macOS/Chrome,211.185.187.15,Pakistan,Islamabad,0.0,0.0,0.0,card_77338,1.0,2.0,1.0
169,dev_620766,mobile,Chrome,Android,mobile/Android/Chrome,149.183.151.236,UAE,Dubai,0.0,0.0,0.0,card_19654,0.0,1.0,1.0
170,dev_188436,mobile,Chrome,iOS,mobile/iOS/Chrome,59.139.141.17,Canada,Toronto,0.0,0.0,0.0,card_17634,0.0,1.0,1.0
171,dev_992935,desktop,Chrome,Windows,desktop/Windows/Chrome,100.83.58.90,Turkey,Istanbul,0.0,0.0,0.0,card_11989,0.0,1.0,1.0
172,dev_668972,mobile,Safari,Android,mobile/Android/Safari,38.56.221.117,Pakistan,Islamabad,0.0,0.0,0.0,card_77005,0.0,1.0,1.0
173,,,,,,,,,,,,,,,
174,dev_478317,desktop,Firefox,macOS,desktop/macOS/Firefox,51.236.87.18,UK,Manchester,0.0,0.0,0.0,card_86196,0.0,1.0,1.0
175,dev_321438,tablet,Firefox,iOS,tablet/iOS/Firefox,158.234.79.5,Pakistan,Islamabad,0.0,0.0,0.0,card_25926,0.0,1.0,0.0
176,,,,,,,,,,,,,,,
177,dev_258648,mobile,Safari,Android,mobile/Android/Safari,178.211.1.186,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_44081,0.0,1.0,1.0
178,,,,,,,,,,,,,,,
179,dev_239089,mobile,Chrome,Android,mobile/Android/Chrome,164.21.250.230,UK,Manchester,0.0,0.0,0.0,card_69758,0.0,1.0,1.0
180,dev_677773,mobile,Safari,Android,mobile/Android/Safari,41.227.31.148,UK,Manchester,0.0,0.0,0.0,card_73782,0.0,1.0,0.0
181,dev_907835,mobile,Chrome,iOS,mobile/iOS/Chrome,35.37.209.14,UK,Manchester,0.0,0.0,0.0,card_58654,0.0,1.0,1.0
182,dev_559737,desktop,Chrome,Windows,desktop/Windows/Chrome,151.231.11.40,USA,Los Angeles,0.0,0.0,0.0,card_63496,0.0,1.0,0.0
183,dev_165394,desktop,Chrome,macOS,desktop/macOS/Chrome,218.170.191.36,Australia,Sydney,0.0,0.0,0.0,card_24341,0.0,1.0,0.0
184,dev_248146,mobile,Firefox,Android,mobile/Android/Firefox,69.88.171.6,Pakistan,Islamabad,0.0,0.0,0.0,card_98973,0.0,1.0,1.0
185,,,,,,,,,,,,,,,
186,dev_785414,desktop,Other,macOS,desktop/macOS/Other,193.124.71.29,Pakistan,Islamabad,0.0,0.0,0.0,card_94031,0.0,1.0,1.0
187,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,
190,dev_691068,mobile,Chrome,Android,mobile/Android/Chrome,39.197.67.238,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_49915,0.0,1.0,1.0
191,dev_203413,desktop,Chrome,Windows,desktop/Windows/Chrome,52.31.110.109,UAE,Dubai,1.0,0.0,0.0,card_18861,0.0,1.0,1.0
192,dev_500002,desktop,Safari,Linux,desktop/Linux/Safari,67.45.73.92,Qatar,Doha,0.0,0.0,0.0,card_50184,0.0,1.0,1.0
193,dev_349335,mobile,Safari,Android,mobile/Android/Safari,45.159.44.105,Pakistan,Islamabad,1.0,1.0,0.0,card_32124,0.0,1.0,1.0
194,dev_240788,mobile,Safari,Android,mobile/Android/Safari,160.189.118.201,Pakistan,Islamabad,0.0,0.0,0.0,card_45730,0.0,1.0,1.0
195,dev_947628,desktop,Chrome,Linux,desktop/Linux/Chrome,43.254.125.249,Saudi Arabia,Riyadh,0.0,0.0,0.0,card_73630,0.0,1.0,1.0
